iter	Passed	Remaining
404	8452	12417
405	8472	12395
406	8491	12372
407	8510	12347
408	8529	12325
409	8550	12303
410	8569	12281
411	8587	12256
412	8609	12236
413	8630	12215
414	8648	12191
415	8670	12172
416	8692	12153
417	8712	12130
418	8732	12108
419	8750	12084
420	8771	12063
421	8790	12040
422	8813	12022
423	8832	11999
424	8853	11977
425	8871	11952
426	8890	11930
427	8911	11909
428	8935	11892
429	8956	11872
430	8976	11850
431	8996	11828
432	9017	11808
433	9039	11788
434	9059	11766
435	9079	11744
436	9098	11721
437	9117	11698
438	9139	11679
439	9160	11658
440	9181	11637
441	9202	11617
442	9222	11596
443	9242	11573
444	9264	11555
445	9284	11532
446	9304	11510
447	9324	11489
448	9343	11466
449	9366	11447
450	9386	11425
451	9404	11402
452	9424	11379
453	9442	11355
454	9463	11335
455	9485	11315
456	9502	11291
457	9521	11267
458	9540	11245
459	9559	11221
460	9578	11198
461	9598	11177
462	9619	11157
463	9638	11133
464	9657	11111
465	9675	11087
466	9694	11064
467	9712	11040
468	9731	11018
469	9753	10998
470	9773	10977
471	9793	10955
472	9814	10934
473	9834	10913
474	9856	10893
475	9877	10873
476	9897	10852
477	9917	10830
478	9936	10808
479	9960	10790
480	9980	10769
481	10002	10749
482	10026	10732
483	10047	10711
484	10070	10693
485	10090	10671
486	10108	10648
487	10129	10627
488	10150	10607
489	10169	10584
490	10188	10562
491	10210	10542
492	10230	10521
493	10253	10502
494	10271	10479
495	10293	10459
496	10312	10436
497	10334	10417
498	10357	10399
499	10376	10376
500	10397	10355
501	10420	10337
502	10442	10317
503	10461	10295
504	10482	10274
505	10501	10252
506	10520	10229
507	10539	10207
508	10558	10185
509	10582	10167
510	10604	10148
511	10629	10130
512	10651	10111
513	10674	10092
514	10696	10073
515	10717	10052
516	10738	10032
517	10762	10014
518	10783	9993
519	10804	9973
520	10828	9955
521	10849	9934
522	10872	9916
523	10899	9900
524	10921	9881
525	10942	9860
526	10964	9840
527	10987	9821
528	11009	9802
529	11032	9783
530	11052	9762
531	11076	9743
532	11097	9723
533	11122	9706
534	11147	9688
535	11174	9673
536	11200	9657
537	11231	9644
538	11255	9626
539	11284	9612
540	11307	9593
541	11333	9577
542	11357	9558
543	11379	9539
544	11405	9521
545	11428	9502
546	11454	9485
547	11478	9467
548	11500	9447
549	11519	9425
550	11543	9406
551	11565	9386
552	11587	9366
553	11609	9345
554	11630	9325
555	11650	9303
556	11672	9283
557	11692	9262
558	11713	9241
559	11734	9220
560	11757	9200
561	11777	9179
562	11800	9159
563	11820	9138
564	11840	9116
565	11860	9094
566	11879	9071
567	11899	9050
568	11921	9029
569	11939	9006
570	11958	8984
571	11980	8964
572	11999	8941
573	12019	8920
574	12040	8899
575	12060	8878
576	12081	8857
577	12100	8834
578	12122	8814
579	12144	8794
580	12167	8774
581	12186	8752
582	12206	8731
583	12226	8709
584	12245	8687
585	12264	8664
586	12283	8642
587	12303	8620
588	12322	8598
589	12341	8576
590	12360	8554
591	12382	8533
592	12401	8511
593	12423	8491
594	12442	8469
595	12463	8448
596	12484	8427
597	12505	8406
598	12524	8384
599	12545	8363
600	12564	8341
601	12583	8319
602	12605	8299
603	12627	8279
604	12649	8259
605	12670	8237
606	12691	8217
607	12710	8195
608	12733	8175
609	12755	8155
610	12773	8132
611	12794	8111
612	12813	8089
613	12836	8069
614	12857	8048
615	12878	8028
616	12898	8006
617	12919	7985
618	12941	7965
619	12963	7945
620	12984	7924
621	13004	7903
622	13023	7881
623	13044	7860
624	13067	7840
625	13087	7819
626	13108	7798
627	13129	7777
628	13149	7755
629	13170	7734
630	13190	7713
631	13209	7691
632	13231	7671
633	13252	7650
634	13270	7627
635	13289	7605
636	13310	7585
637	13331	7564
638	13352	7543
639	13376	7524
640	13399	7504
641	13421	7484
642	13443	7464
643	13463	7442
644	13482	7420
645	13502	7399
646	13526	7379
647	13547	7359
648	13569	7338
649	13593	7319
650	13614	7298
651	13637	7278
652	13658	7258
653	13678	7236
654	13701	7216
655	13721	7195
656	13740	7173
657	13761	7152
658	13781	7131
659	13800	7109
660	13821	7088
661	13843	7068
662	13863	7046
663	13883	7025
664	13905	7004
665	13923	6982
666	13946	6962
667	13967	6941
668	13984	6918
669	14002	6896
670	14022	6875
671	14044	6854
672	14064	6833
673	14083	6812
674	14103	6790
675	14123	6769
676	14142	6747
677	14165	6727
678	14187	6707
679	14209	6686
680	14228	6664
681	14248	6643
682	14268	6622
683	14289	6601
684	14310	6580
685	14333	6560
686	14354	6540
687	14376	6519
688	14399	6499
689	14423	6479
690	14441	6457
691	14463	6437
692	14484	6416
693	14503	6394
694	14523	6373
695	14541	6351
696	14563	6330
697	14584	6310
698	14603	6288
699	14624	6267
700	14646	6247
701	14668	6226
702	14688	6205
703	14708	6184
704	14727	6162
705	14750	6142
706	14773	6122
707	14794	6101
708	14814	6080
709	14834	6059
710	14852	6037
711	14872	6015
712	14893	5994
713	14914	5974
714	14934	5952
715	14956	5932
716	14974	5910
717	14993	5888
718	15015	5868
719	15037	5848
720	15059	5827
721	15082	5807
722	15101	5785
723	15122	5764
724	15142	5743
725	15165	5723
726	15184	5701
727	15204	5680
728	15225	5659
729	15247	5639
730	15266	5617
731	15284	5596
732	15305	5575
733	15325	5553
734	15345	5532
735	15364	5511
736	15383	5489
737	15403	5468
738	15426	5448
739	15447	5427
740	15466	5406
741	15486	5384
742	15506	5363
743	15527	5342
744	15546	5321
745	15567	5300
746	15590	5280
747	15612	5259
748	15633	5238
749	15655	5218
750	15677	5198
751	15696	5176
752	15719	5156
753	15739	5135
754	15758	5113
755	15779	5092
756	15799	5071
757	15820	5050
758	15840	5029
759	15859	5008
760	15879	4987
761	15898	4965
762	15918	4944
763	15939	4923
764	15959	4902
765	15979	4881
766	16001	4860
767	16020	4839
768	16039	4818
769	16057	4796
770	16074	4774
771	16095	4753
772	16114	4732
773	16135	4711
774	16155	4690
775	16173	4668
776	16193	4647
777	16214	4626
778	16236	4606
779	16255	4584
780	16275	4563
781	16296	4543
782	16315	4521
783	16336	4500
784	16356	4479
785	16373	4457
786	16393	4436
787	16416	4416
788	16435	4395
789	16456	4374
790	16475	4353
791	16496	4332
792	16517	4311
793	16538	4290
794	16558	4269
795	16580	4249
796	16600	4228
797	16621	4207
798	16641	4186
799	16660	4165
800	16681	4144
801	16701	4123
802	16722	4102
803	16741	4081
804	16762	4060
805	16780	4038
806	16796	4017
807	16817	3996
808	16834	3974
809	16857	3954
810	16874	3932
811	16895	3911
812	16913	3890
813	16935	3869
814	16956	3848
815	16974	3827
816	16995	3806
817	17018	3786
818	17038	3765
819	17060	3744
820	17081	3724
821	17102	3703
822	17118	3681
823	17136	3660
824	17155	3638
825	17174	3617
826	17192	3596
827	17211	3575
828	17230	3554
829	17249	3532
830	17268	3511
831	17285	3490
832	17303	3469
833	17324	3448
834	17344	3427
835	17365	3406
836	17385	3385
837	17406	3364
838	17424	3343
