iter	Logloss
0	0.6782363636
1	0.6671693955
2	0.6594537472
3	0.6532129507
4	0.6488984545
5	0.6454800072
6	0.6424785904
7	0.6404239329
8	0.6385615755
9	0.6371719225
10	0.6359404898
11	0.6348585924
12	0.6339172808
13	0.6332117518
14	0.6326745275
15	0.6322089875
16	0.6316455208
17	0.6310079102
18	0.6306185267
19	0.6300688422
20	0.6297525078
21	0.6292728109
22	0.6288449506
23	0.628650402
24	0.6283521637
25	0.6281222434
26	0.6278902249
27	0.627630351
28	0.6274104231
29	0.6272425441
30	0.6270474687
31	0.6268987001
32	0.6266011518
33	0.6264284866
34	0.6262250115
35	0.626021107
36	0.6258903691
37	0.6257803786
38	0.6256664471
39	0.6254651602
40	0.6252096658
41	0.625089799
42	0.6249644302
43	0.6248434871
44	0.6246734199
45	0.6246105097
46	0.6244937872
47	0.6243900877
48	0.6243193492
49	0.6242524842
50	0.6241849503
51	0.6241341678
52	0.6240747011
53	0.623994148
54	0.6238510563
55	0.623725439
56	0.6236808664
57	0.62355308
58	0.6234673803
59	0.6234160592
60	0.6233445239
61	0.6233136149
62	0.6232341787
63	0.6230943856
64	0.6230438593
65	0.623016475
66	0.6229556842
67	0.6229148921
68	0.6227949331
69	0.6227049883
70	0.6226236374
71	0.6225878943
72	0.6225346963
73	0.622471965
74	0.6223586696
75	0.6223428324
76	0.6222427634
77	0.6222025888
78	0.6221473015
79	0.622096418
80	0.6220499183
81	0.6219345857
82	0.621876727
83	0.621760499
84	0.6216201551
85	0.6215656084
86	0.6214362559
87	0.6213956531
88	0.621315746
89	0.6212764674
90	0.6212123791
91	0.6211828034
92	0.6211234602
93	0.621077141
94	0.6210078623
95	0.6209182673
96	0.6208655174
97	0.6208156982
98	0.6207429612
99	0.6206792432
100	0.620612893
101	0.6205444842
102	0.6204361432
103	0.6203893101
104	0.6203292897
105	0.6202728536
106	0.6201923493
107	0.6201755823
108	0.6201341094
109	0.620078975
110	0.6200389511
111	0.619991769
